"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_1000","Pineda Yam",1000,NA,NA,NA,43.15,4.5275,115.475,2.175,0,18.75,2.9275,1.2775,13.7,5.05,9.95,4.925,1.5,NA,NA
"YAM_1001","Pineda Yam",1001,NA,NA,NA,29.3666666666667,3.76,107.633333333333,2.23333333333333,1,19.3333333333333,2.955,1.353,12.0466666666667,6.12666666666667,9.09,5.53333333333333,2.16,NA,NA
"YAM_1002","Pineda Yam",1002,NA,NA,NA,39.475,3.1075,73.15,3.8,0,9.5,4.9625,2.3875,16.425,11.575,12.075,7.875,2.275,NA,NA
"YAM_1003","Pineda Yam",1003,NA,NA,NA,25.7333333333333,3.05333333333333,55.2,2.13333333333333,0,25.3333333333333,1.63,1.43666666666667,10.1666666666667,4.6,9.56666666666667,5.2,1.66666666666667,NA,NA
"YAM_1004","Pineda Yam",1004,NA,NA,NA,23.8,3.30333333333333,66.4,1.9,0,19.6666666666667,3.13,1.53333333333333,14.4333333333333,5,11.8,8.2,2.56666666666667,NA,NA
"YAM_1005","Pineda Yam",1005,NA,NA,NA,34.4666666666667,4.03,69.2666666666667,2.96666666666667,0,5.66666666666667,9.14,2.88666666666667,23.1666666666667,13.6,14.2833333333333,8.79333333333333,2.28,NA,NA
"YAM_1006","Pineda Yam",1006,NA,NA,NA,35.3333333333333,4.28,74.5666666666667,3.06666666666667,0,5,7.31,4.15666666666667,21.8,18.7333333333333,9.1,8.13333333333333,3.16666666666667,NA,NA
"YAM_1007","Pineda Yam",1007,NA,NA,NA,32.7,3.20333333333333,56.3666666666667,1.96666666666667,0,3,9.10333333333333,3.29,24.5,18.5,15.3666666666667,8.5,2.73333333333333,NA,NA
"YAM_1008","Pineda Yam",1008,NA,NA,NA,45.5333333333333,3.19666666666667,66.1333333333333,4.36666666666667,0,5,6.79333333333333,3.87333333333333,25.4,16.6666666666667,14.5,6.33333333333333,2.33333333333333,NA,NA
"YAM_1009","Pineda Yam",1009,NA,NA,NA,35.7333333333333,4.71666666666667,78.7,3.6,4,18.6666666666667,2.52333333333333,2.10333333333333,12.5,7.26666666666667,10.1,1.56666666666667,2.96666666666667,NA,NA
"YAM_1010","Pineda Yam",1010,NA,NA,NA,37.0333333333333,2.28333333333333,77.4333333333333,2.1,3.66666666666667,12.6666666666667,2.99666666666667,1.53666666666667,14.6333333333333,7.63333333333333,11.8,7.1,2.03333333333333,NA,NA
"YAM_1011","Pineda Yam",1011,NA,NA,NA,29.0333333333333,3.40333333333333,79.1333333333333,1.56666666666667,1,7.33333333333333,2.76333333333333,1.85333333333333,13.9333333333333,5.73333333333333,10.7,6.93333333333333,2.9,NA,NA
"YAM_1012","Pineda Yam",1012,NA,NA,NA,39.4333333333333,3.36333333333333,75.6666666666667,2.4,0,5,6.37,2.60666666666667,18.8,9.4,13.7666666666667,5.6,3.83333333333333,NA,NA
"YAM_1013","Pineda Yam",1013,NA,NA,NA,41.3,3.19666666666667,62.5333333333333,3.26666666666667,0,5,4.77666666666667,2.61666666666667,11.4,17.6,10.3333333333333,8.53333333333333,2.93333333333333,NA,NA
"YAM_1014","Pineda Yam",1014,NA,NA,NA,27.1666666666667,3.60333333333333,68.8,2.6,0,19.3333333333333,3.29666666666667,0.946666666666667,13.0666666666667,4.73333333333333,7.03333333333333,3.96666666666667,1.9,NA,NA
"YAM_1015","Pineda Yam",1015,NA,NA,NA,33.3,2.87,55.2666666666667,2.26666666666667,0,5,6.82666666666667,2.77,21.4333333333333,14.3333333333333,12.3333333333333,8.53333333333333,2.76666666666667,NA,NA
"YAM_1016","Pineda Yam",1016,NA,NA,NA,25.3333333333333,3.18666666666667,69.0666666666667,1.83333333333333,0,11,2.165,1.03,11.5666666666667,3.4,8.6,5.8,2.73333333333333,NA,NA
"YAM_1017","Pineda Yam",1017,NA,NA,NA,32.2666666666667,2.58666666666667,73.1333333333333,2.23333333333333,1,17.6666666666667,3.19,1.55,12.2,5.2,8.96666666666667,4.36666666666667,1.9,NA,NA
"YAM_1018","Pineda Yam",1018,NA,NA,NA,34.1666666666667,4.84666666666667,95.0333333333333,1.93333333333333,1,25.3333333333333,3.13666666666667,1.64,13.9666666666667,4.06666666666667,6.8,4.4,2.1,NA,NA
