Collector.Collection.Number,Collector,Collection.Number,Longitude,Latitude,Altitude
YAM_1000,Pineda Yam,1000,-74.26442,4.21965,3567
YAM_1001,Pineda Yam,1001,-74.26418,4.21960,3567
YAM_1002,Pineda Yam,1002,-74.24388,4.21188,3731
YAM_1003,Pineda Yam,1003,-74.26544,4.19810,3845
YAM_1004,Pineda Yam,1004,-74.26494,4.19832,3834
YAM_1005,Pineda Yam,1005,-74.26464,4.19832,3825
YAM_1006,Pineda Yam,1006,-74.26357,4.19857,3821
YAM_1007,Pineda Yam,1007,-74.26357,4.19875,3821
YAM_1008,Pineda Yam,1008,-74.26329,4.19837,3816
YAM_1009,Pineda Yam,1009,-74.25594,4.19728,3759
YAM_1010,Pineda Yam,1010,-74.26210,4.19151,3750
YAM_1011,Pineda Yam,1011,-74.26444,4.19462,3797
YAM_1012,Pineda Yam,1012,-74.26471,4.19482,3800
YAM_1013,Pineda Yam,1013,-74.26522,4.19509,3816
YAM_1014,Pineda Yam,1014,-74.27457,4.19850,3863
YAM_1015,Pineda Yam,1015,-74.27534,4.19872,3855
YAM_1016,Pineda Yam,1016,-74.27772,4.19952,3831
YAM_1017,Pineda Yam,1017,-74.27831,4.20296,3739
YAM_1018,Pineda Yam,1018,-74.27950,4.20709,3703
YAM_1019,Pineda Yam,1019,-74.28069,4.21262,3595
YAM_1020,Pineda Yam,1020,-74.28062,4.21227,3595
YAM_1021,Pineda Yam,1021,-74.28032,4.21293,3629
YAM_1022,Pineda Yam,1022,-74.28049,4.21318,3627
YAM_1023,Pineda Yam,1023,-74.28062,4.21332,3626
YAM_1024,Pineda Yam,1024,-74.28178,4.21345,3619
YAM_1025,Pineda Yam,1025,-74.28189,4.21368,3618
YAM_1026,Pineda Yam,1026,-74.28294,4.21486,3610
YAM_1027,Pineda Yam,1027,-74.28310,4.21655,3602
YAM_1028,Pineda Yam,1028,-74.28839,4.21587,3576
YAM_1029,Pineda Yam,1029,-74.28785,4.21489,3578
YAM_1030,Pineda Yam,1030,-74.28809,4.21471,3574
YAM_1031,Pineda Yam,1031,-74.28846,4.21456,3570
YAM_1032,Pineda Yam,1032,-74.28726,4.21245,3591
YAM_1033,Pineda Yam,1033,-74.28862,4.21245,3573
YAM_1034,Pineda Yam,1034,-74.28887,4.21309,3570
YAM_1035,Pineda Yam,1035,-74.28966,4.21156,3584
YAM_1036,Pineda Yam,1036,-74.28923,4.21088,3588
YAM_1037,Pineda Yam,1037,-74.28845,4.21697,3567
YAM_1038,Pineda Yam,1038,-74.28841,4.21407,3578
YAM_1039,Pineda Yam,1039,-74.29214,4.21096,3574
YAM_1040,Pineda Yam,1040,-74.29253,4.21098,3576
YAM_1041,Pineda Yam,1041,-74.29253,4.21098,3576
YAM_1042,Pineda Yam,1042,-74.29517,4.21009,3560
