"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,"YAM_073",1,0
3,"YAM_075",5,0.0276230737446083
4,"YAM_076",3,0.00116907702136149
5,"YAM_077",3,0.0145311576691542
6,"YAM_078",4,1.6807444577327e-05
7,"YAM_079",1,2.27814456188469e-09
9,"YAM_081",3,0.00517826671502175
16,"YAM_088",3,0.000911256206206024
18,"YAM_090",4,0
19,"YAM_091",4,1.12103659688501e-11
27,"YAM_099",4,0
77,"YAM_146",5,0.0443780952365387
83,"YAM_152",5,0.0108747738998319
87,"YAM_156",4,1.80744308408975e-13
88,"YAM_157",5,0.019195264422567
95,"YAM_164",2,0.00999282341654051
97,"YAM_166",2,0.069106434090676
107,"YAM_176",5,9.17778156028781e-07
109,"YAM_178",2,0.0994939026437334
115,"YAM_181",4,0.00954703578301985
118,"YAM_183",5,0.00158962693085485
119,"YAM_184",3,0.000471960411018046
121,"YAM_186",4,0
125,"YAM_190",3,0.00408747039653756
126,"YAM_191",3,0.0287464476427481
128,"YAM_193",5,4.86307458413826e-07
130,"YAM_195",5,0.0602995151971835
132,"YAM_197",2,0.00987812359278539
134,"YAM_199",5,0.0435723984294747
136,"YAM_201",1,1.0988321363925e-11
139,"YAM_204",5,0.0143520067820051
142,"YAM_207",3,6.2526479771563e-08
153,"YAM_218",3,6.30794400522383e-05
155,"YAM_220",1,4.44089209850063e-15
157,"YAM_222",3,0.0180354750308812
173,"YAM_238",3,0.00412871128043801
181,"YAM_246",3,0.0952998150137365
182,"YAM_247",5,0.0129005147713326
186,"YAM_251",3,5.78524641831057e-05
188,"YAM_253",5,2.92313862004789e-08
190,"YAM_255",5,0.000946547145179943
194,"YAM_259",1,2.8688162956314e-13
195,"YAM_260",1,9.0640828176447e-12
198,"YAM_263",1,1.22018057020501e-05
222,"YAM_287",2,0.436742288874045
223,"YAM_288",2,0.00263772034404985
225,"YAM_290",3,0.000950349423366581
227,"YAM_292",3,0.00074734414080424
229,"YAM_294",5,0.00135830976503315
230,"YAM_295",2,0.155611464380239
231,"YAM_296",6,0.000509649075614904
233,"YAM_298",6,1.91117908008298e-05
238,"YAM_303",3,7.45634682886021e-08
239,"YAM_304",2,0.37563703502407
241,"YAM_306",2,0.0810170602315786
243,"YAM_308",5,0.00493829724500183
245,"YAM_310",2,0.0684314190716452
247,"YAM_312",1,9.81059386062633e-07
249,"YAM_314",1,7.76023899584644e-08
251,"YAM_316",2,6.48208157150165e-08
256,"YAM_321",2,0.000142218547740547
258,"YAM_323",3,0.161827144542953
260,"YAM_325",3,0.0252553008449089
263,"YAM_328",5,0.00216968904754578
266,"YAM_331",1,2.55351295663786e-14
272,"YAM_337",5,0.0187783870247833
273,"YAM_338",1,1.91071936050946e-09
286,"YAM_351",1,6.60873977764709e-09
288,"YAM_353",1,5.89461812694481e-12
290,"YAM_355",6,4.88498130835069e-15
291,"YAM_356",1,1.42965861371636e-10
299,"YAM_364",3,0.000525177415105271
313,"YAM_378",1,1.01802254437455e-06
317,"YAM_382",1,0
318,"YAM_383",1,0
322,"YAM_387",1,1.50790491204589e-12
323,"YAM_388",3,0.00102018786018787
324,"YAM_389",1,8.50808312691242e-12
329,"YAM_394",3,0.000199392943494026
331,"YAM_396",3,0.000343590944184236
340,"YAM_405",1,4.77025920797569e-06
345,"YAM_410",1,8.88178419700125e-16
346,"YAM_411",2,0.00583748112922611
347,"YAM_412",2,5.07947055528035e-08
348,"YAM_413",1,0.000144148436103442
349,"YAM_414",1,1.93122475650176e-05
350,"YAM_415",1,6.88338275267597e-15
351,"YAM_416",3,0.00381981252845509
352,"YAM_417",3,3.34251587608136e-06
353,"YAM_418",1,4.56716857547557e-05
355,"YAM_420",5,0.435070110383583
403,"YAM_468",1,7.47244266463554e-10
422,"YAM_487",1,2.47716450685331e-08
432,"YAM_497",1,0.000833638582254381
441,"YAM_506",1,0
446,"YAM_511",3,0.0176812981847589
454,"YAM_519",1,0.000160185752387298
456,"YAM_521",1,3.18050071834719e-08
460,"YAM_525",5,8.43174344288267e-05
470,"YAM_535",1,0
473,"YAM_538",1,0
479,"YAM_544",5,3.00608677329395e-05
480,"YAM_545",6,0.00945395647887526
481,"YAM_546",1,7.40740802029904e-13
484,"YAM_549",5,0.00822284852360122
485,"YAM_550",3,0.0214135084353551
496,"YAM_561",3,0.0145030377969712
536,"YAM_601",1,0
537,"YAM_602",2,0.00197866282521919
538,"YAM_603",1,4.68877237125298e-06
541,"YAM_606",1,3.57419558061345e-07
544,"YAM_609",1,0.000178530580095759
548,"YAM_613",1,2.2270726190099e-05
550,"YAM_615",1,2.40207853607899e-12
554,"YAM_619",3,6.23623847562094e-07
555,"YAM_620",1,0
568,"YAM_633",1,9.41761284511955e-08
573,"YAM_638",1,2.74254309817756e-07
579,"YAM_644",1,4.71743606844655e-07
581,"YAM_646",3,0.00651386516349506
585,"YAM_650",2,0.00103620455693776
630,"YAM_685",1,8.31779090049167e-13
631,"YAM_686",1,1.48661749577172e-09
635,"YAM_690",1,2.41259932046711e-05
639,"YAM_694",1,0
651,"YAM_706",3,0.458520837872406
652,"YAM_707",2,0.216063126730507
654,"YAM_709",1,1.64973678636882e-05
658,"YAM_713",1,1.03876423009908e-05
662,"YAM_717",1,0
664,"YAM_719",2,1.73219214349984e-06
666,"YAM_721",2,0.231110851221608
667,"YAM_722",1,0
669,"YAM_724",1,8.82731221452104e-10
671,"YAM_726",1,8.870681966755e-13
676,"YAM_731",5,0.117921959852582
679,"YAM_734",5,0.000813144746998673
682,"YAM_737",5,0.025298273987326
683,"YAM_738",5,0.00299110952720572
687,"YAM_742",5,0.0200336170204582
689,"YAM_744",6,5.16282801489298e-05
690,"YAM_745",6,0.000889508821834362
691,"YAM_746",1,0.000648888757678101
693,"YAM_748",3,0.100986161799076
694,"YAM_749",5,4.46770453059742e-05
695,"YAM_750",1,8.4395040014229e-05
696,"YAM_751",6,2.65352748662906e-07
698,"YAM_753",1,3.68709507370113e-11
700,"YAM_755",1,1.80268777683068e-09
702,"YAM_757",1,2.51136889062309e-11
706,"YAM_761",1,5.36903854708726e-13
719,"YAM_774",1,1.04519079860976e-05
721,"YAM_776",3,0.00186960246076717
727,"YAM_782",1,1.01012056497041e-08
733,"YAM_788",2,4.74561253898109e-05
734,"YAM_789",2,0.000180988652354497
737,"YAM_792",1,1.24263311374051e-06
740,"YAM_795",1,0.000220103186406417
742,"YAM_797",3,3.05457286157162e-05
748,"YAM_803",1,8.33835720203124e-05
749,"YAM_804",3,0.0672732914015959
750,"YAM_805",3,0.0715735375078577
751,"YAM_806",1,3.44870749761084e-05
752,"YAM_807",1,0.000196374746672223
753,"YAM_808",5,0.000140192798628203
757,"YAM_812",1,0
759,"YAM_814",1,0
765,"YAM_820",1,0
767,"YAM_822",2,0.0472168375268224
768,"YAM_823",1,0
769,"YAM_824",1,0
770,"YAM_825",1,0
771,"YAM_826",5,0.259154391446231
773,"YAM_828",5,0.00213470712189157
775,"YAM_830",3,0.0431267953737123
776,"YAM_831",1,2.73350231339009e-11
779,"YAM_834",4,0
780,"YAM_835",5,0.230429038546605
781,"YAM_836",4,1.34336985979644e-13
783,"YAM_838",5,0.0291236729254598
785,"YAM_840",1,7.94919685631612e-14
786,"YAM_841",1,0.00013559734622659
787,"YAM_842",1,2.11193444621394e-07
791,"YAM_846",1,2.51815679419565e-10
793,"YAM_848",6,2.89466428604612e-09
794,"YAM_849",6,1.08409503596363e-10
795,"YAM_850",6,2.22595266119452e-06
796,"YAM_851",6,6.85735383365582e-07
797,"YAM_852",1,2.36407471376765e-09
798,"YAM_853",6,0.000283384756102234
799,"YAM_854",6,0.0291800239912267
800,"YAM_855",6,4.50951159858271e-06
801,"YAM_856",6,5.52757839500373e-11
802,"YAM_857",4,0
804,"YAM_859",4,4.01678438843867e-07
805,"YAM_860",4,8.62931948120149e-12
806,"YAM_861",1,3.39728245535298e-13
807,"YAM_862",3,1.08770142843717e-05
809,"YAM_864",1,0
810,"YAM_865",1,2.22044604925031e-16
811,"YAM_866",1,0
812,"YAM_867",1,0
813,"YAM_868",1,0
814,"YAM_869",1,0
815,"YAM_870",1,0
816,"YAM_871",2,0.0132483479998412
817,"YAM_872",6,1.80966353013901e-13
818,"YAM_873",1,1.91557880668825e-12
819,"YAM_874",2,0.0407499321937395
820,"YAM_875",2,0.000356942298712082
821,"YAM_876",3,0.223379987163784
822,"YAM_877",1,1.68687286361546e-12
823,"YAM_878",2,0.00969992670798592
824,"YAM_879",2,0.00247216272607587
825,"YAM_880",2,0.011958214918656
826,"YAM_881",2,0.00483947718233335
827,"YAM_882",1,7.27007343215291e-11
828,"YAM_883",1,2.22044604925031e-16
829,"YAM_884",5,0.0638145339075153
830,"YAM_885",2,0.00166401337856148
831,"YAM_886",2,0.006540391433004
832,"YAM_887",2,0.190204138264798
833,"YAM_888",2,0.0024764896943128
834,"YAM_889",2,0.00650412075448692
835,"YAM_890",1,1.78257408833815e-12
836,"YAM_891",1,0.00041710507462156
837,"YAM_892",5,5.1265936162892e-06
838,"YAM_893",3,0.00108364665238347
839,"YAM_894",1,5.88770365794744e-10
840,"YAM_895",1,1.38034028651646e-11
841,"YAM_896",3,1.61643776132037e-05
842,"YAM_897",1,3.96038091210471e-10
843,"YAM_898",1,3.4524627601229e-10
844,"YAM_899",1,2.46722642316399e-11
845,"YAM_900",1,7.88724641154204e-12
846,"YAM_901",1,1.3388514974455e-07
847,"YAM_902",5,4.48032448030489e-06
848,"YAM_903",2,1.10014712716433e-05
849,"YAM_904",1,7.39082719025674e-07
850,"YAM_905",2,0.137987878183275
851,"YAM_906",2,0.00124894896646677
852,"YAM_907",2,0.0550393398455354
853,"YAM_908",2,0.0255221481552582
854,"YAM_909",2,0.176118685624342
867,"Vergara_8",4,5.37005995226991e-11
870,"Cuatrecasas_27070",4,5.85133941299887e-10
874,"Idrobo & Hernandez_2756",4,9.49754891543808e-06
877,"Cleef_8301",2,0.0188210747166994
880,"Betancur_8093",5,0.0459623048999797
882,"Uribe_5537",3,0.000723563044410791
885,"Uribe_4505",5,0.00254647641633388
893,"Garcia-Barriga_17193",2,0.00376521101698257
910,"Cuatrecasas_5517",3,0.00372110257750491
911,"Garcia-Barriga_8103",3,1.71955660808187e-05
912,"Cuatrecasas et al_25567",3,1.90857259765309e-05
913,"Uribe_2473",3,0.000530270016139256
916,"Humbert et al._26849",3,9.80158793018049e-08
919,"Garcia-Barriga_13390",3,0.0660803613586973
928,"Barclay & Juajibioy_6137",1,3.33066907387547e-15
934,"Fernandez & Jaramillo_1486",1,1.46549439250521e-14
938,"Uribe_6786",1,3.18536308441253e-11
943,"Barclay et al._3258",1,3.27999849503158e-11
945,"Humbert et al._26904",1,3.17119663861831e-11
953,"Dugang_2965",1,2.28483898467857e-13
958,"Garcia-Barriga_17392",1,7.89679432955381e-12
959,"Cleff_1575",1,0
961,"Cleff_1573",1,0
962,"Diaz et. al_2873",1,0
965,"Uribe_7033",1,0
966,"Cuatrecasas & Jaramillo_28785",1,0
967,"Cuatrecasas & Jaramillo_28789",1,0
968,"Garcia-Barriga_8117",1,5.00044450291171e-13
970,"Uribe & Jaramillo_6895",1,0
973,"Cuatrecasas_9527-A",2,0.000544553679114324
974,"Cuatrecasas_9527",3,0.000624524870692089
980,"Cuatrecasas & Jaramillo_25908",4,0
981,"LATP_010",1,6.45855270107187e-05
982,"LATP_009",1,1.98588262356747e-05
983,"LATP_006",1,9.96537429243105e-08
984,"LATP_011",1,3.16815129686177e-09
985,"DEG_823",1,1.24122934153093e-13
986,"DEG_812",1,2.66804356385819e-11
987,"DEG_808",1,2.45199638371218e-10
988,"DEG_825",1,3.46611628287974e-13
989,"DEG_822",1,0
991,"DEG_819",1,3.06421554796543e-14
993,"JLMA_001",2,0.0014919393884899
994,"LATP_007",2,0.00526155521686567
995,"DEG_811",5,0.00432980059523058
996,"DEG_814",5,0.0151745010376227
997,"SAV_001",2,0.0136463644263762
998,"DEG_824",3,4.12062917121148e-09
1001,"LATP_008",2,0.000705724832975263
1003,"DEG_863_S152",2,0.0001902538822387
1004,"DEG_840",4,2.51001345263901e-08
1005,"DEG_837",1,7.99313737220864e-05
1006,"DEG_833",3,3.87682923452815e-06
1007,"DEG_841",6,0.273752506394475
1008,"DEG_832",3,1.83044868151683e-09
1009,"DEG_842",1,1.18329790410598e-10
1010,"DEG_831",6,0.00440494895272825
1011,"DEG_835",6,8.11688641366715e-06
1012,"DEG_834",6,0.130374999574301
1013,"DEG_846",6,1.37597619843666e-05
1014,"DEG_845",1,2.65230282181506e-10
1015,"DEG_855",1,3.66324748313218e-11
1016,"DEG_856",3,0.0956722914922589
