"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,"YAM_073",1,0.000215145765011249
3,"YAM_075",2,5.70263956456429e-06
4,"YAM_076",2,0.00116123076675601
5,"YAM_077",2,0.000737883996496658
6,"YAM_078",4,0.0245612557432057
7,"YAM_079",3,1.62082811872022e-06
9,"YAM_081",2,0.000236450994205328
16,"YAM_088",2,0.00139200448522547
18,"YAM_090",4,3.6587041134073e-05
19,"YAM_091",2,0.0137069388810733
27,"YAM_099",4,2.43983992288532e-05
77,"YAM_146",2,1.90682651668439e-07
83,"YAM_152",2,0.0031566310586687
87,"YAM_156",4,0.00390304682597464
88,"YAM_157",4,0.114302448984533
95,"YAM_164",2,7.54769706734493e-08
97,"YAM_166",2,1.62576935824887e-06
107,"YAM_176",4,0.15193970287887
109,"YAM_178",2,0.000738009660820604
115,"YAM_181",4,0.00269942102253995
118,"YAM_183",2,0.00559143125339689
119,"YAM_184",2,0.0162207080941003
121,"YAM_186",4,1.58573581534593e-05
125,"YAM_190",2,1.70370758090232e-05
126,"YAM_191",2,3.80503146357736e-06
128,"YAM_193",2,0.203062102688811
130,"YAM_195",2,1.0991207943789e-13
132,"YAM_197",2,1.21255699703227e-07
134,"YAM_199",2,0.00367512232172695
136,"YAM_201",5,5.73521460323079e-08
139,"YAM_204",2,0.000464215806972645
142,"YAM_207",2,4.63924454408016e-11
153,"YAM_218",2,0.0107308993798698
155,"YAM_220",5,5.50861578574313e-11
157,"YAM_222",2,0.00181687231771432
173,"YAM_238",2,8.35429235819252e-05
181,"YAM_246",2,0.00334278690931689
182,"YAM_247",2,1.25012430661764e-05
186,"YAM_251",2,2.58836882827129e-06
188,"YAM_253",2,0.000356518038168385
190,"YAM_255",2,1.48704778408781e-05
194,"YAM_259",5,8.57684367971956e-10
195,"YAM_260",5,5.34198685286924e-10
198,"YAM_263",3,4.86815455867928e-05
222,"YAM_287",2,1.56432798792405e-06
223,"YAM_288",2,1.47726275656623e-12
225,"YAM_290",2,1.15458087535103e-10
227,"YAM_292",2,2.81225986942246e-08
229,"YAM_294",2,6.5950921630531e-06
230,"YAM_295",2,1.11799411439684e-06
231,"YAM_296",2,1.96650079109517e-07
