"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,"YAM_073",1,1.49391317905145e-06
3,"YAM_075",2,3.72182407888388e-05
4,"YAM_076",2,9.74850675863337e-05
5,"YAM_077",2,4.0446803644234e-05
6,"YAM_078",3,1.63415019626134e-05
7,"YAM_079",4,5.06215317608305e-06
9,"YAM_081",2,9.53866490549515e-06
16,"YAM_088",2,4.28254835060926e-06
18,"YAM_090",3,1.33226762955019e-15
19,"YAM_091",3,3.27418644419097e-08
27,"YAM_099",3,4.52637927139676e-11
77,"YAM_146",2,5.3200695293576e-08
83,"YAM_152",2,7.3564109616453e-05
87,"YAM_156",3,1.63711050271687e-08
88,"YAM_157",3,0.294882714604079
95,"YAM_164",2,0.0155392130823137
97,"YAM_166",2,0.00155902608781655
107,"YAM_176",2,1.61363953438132e-05
109,"YAM_178",2,6.35656179936994e-06
115,"YAM_181",3,1.87560047715252e-07
118,"YAM_183",2,0.00122707273759282
119,"YAM_184",2,7.04305886745082e-06
121,"YAM_186",3,1.0813572259849e-13
125,"YAM_190",2,2.66590833701841e-05
126,"YAM_191",2,7.66766092658022e-05
128,"YAM_193",2,1.73914499281835e-05
130,"YAM_195",2,0.000494206462445135
132,"YAM_197",2,0.047718368043373
134,"YAM_199",2,0.159392914911518
136,"YAM_201",6,1.50525268916013e-08
139,"YAM_204",2,0.00212126394865264
142,"YAM_207",5,3.30968504470563e-05
153,"YAM_218",2,0.0131321733769478
155,"YAM_220",6,4.10500167191685e-09
157,"YAM_222",2,0.00209117943749282
173,"YAM_238",2,0.00410898805777871
181,"YAM_246",2,1.24057086130502e-05
182,"YAM_247",2,0.000589875097586012
186,"YAM_251",2,0.00145215471833671
188,"YAM_253",2,4.07169351568371e-08
190,"YAM_255",2,5.12807047181596e-06
194,"YAM_259",6,6.45964126633203e-09
195,"YAM_260",6,2.59033705596323e-09
198,"YAM_263",4,8.19383202311785e-05
222,"YAM_287",2,1.77962153569133e-07
223,"YAM_288",2,0.290868769721207
225,"YAM_290",2,5.9902349949903e-05
227,"YAM_292",2,4.81247246608696e-07
229,"YAM_294",2,6.51894723808777e-05
230,"YAM_295",2,0.000107369886728104
231,"YAM_296",5,0.113309902939115
233,"YAM_298",5,0.106826114671884
238,"YAM_303",5,3.42784118601003e-06
239,"YAM_304",2,1.07951265838624e-05
241,"YAM_306",2,2.96763470457595e-05
243,"YAM_308",2,3.21007073456059e-06
245,"YAM_310",2,2.82852863353611e-07
247,"YAM_312",4,0.00844903539445718
249,"YAM_314",4,0.000220388205538158
251,"YAM_316",3,0.000142657806983082
256,"YAM_321",2,0.000913518527867141
258,"YAM_323",2,4.4563485549487e-06
260,"YAM_325",5,0.0104577490735173
263,"YAM_328",2,3.80054141535524e-06
266,"YAM_331",6,3.71295289736118e-07
272,"YAM_337",2,0.000186411175281176
273,"YAM_338",4,9.14998736778472e-06
286,"YAM_351",4,1.24814898619929e-05
288,"YAM_353",4,7.6371804830222e-06
290,"YAM_355",5,1.54713200251066e-07
