"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,1.05566616831476e-05
2,1003,1,0.00934281847870977
3,1004,1,5.06901246222213e-06
4,1006,1,5.43135270092421e-09
5,1007,1,0.00207157667416757
6,1008,1,0.00113104501713779
7,1009,1,0.000166657872239351
8,1010,1,0.000637621716468639
9,1011,1,0.000849598306002175
10,1012,1,1.2521400208132e-05
11,1013,1,0.00023166387141671
12,1014,1,0.000118480798711573
13,1015,1,0.000489758836172194
14,1017,1,0.000154267593705515
15,1018,1,0.00404644568157109
16,1020,1,9.98087509151979e-06
17,1022,1,5.70824720824703e-09
18,1024,1,0.000249098534279124
19,1027,1,0.000256868781363995
20,1028,1,0.000403568598535964
21,1030,2,3.09352726901579e-06
22,1031,1,0.0156834917720948
23,1032,1,0.000101708076902352
24,1033,1,0.000114463319679792
25,1034,1,0.00976081497292114
26,1035,1,0.000452433381340267
27,1036,1,0.00313519814501306
28,1037,2,4.21884749357559e-15
29,1038,2,0.0221000037706652
30,1039,2,0.0590397626396101
31,1040,2,7.60156382284549e-11
32,1041,1,3.07477740935092e-06
33,1042,1,0.000479836077258544
