"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,0.000168964023358975
2,1003,1,0.202445005053584
3,1004,1,5.65131497154425e-10
4,1006,1,0
5,1007,1,0.00432119956634502
6,1008,1,8.52946341778349e-07
7,1009,1,0.00607151763994906
8,1010,1,0.00180200911770667
9,1011,1,0.00253481376744091
10,1012,1,1.16546430395381e-07
11,1013,1,1.52542629804353e-05
12,1014,1,0.000279417386059744
13,1015,1,0.00319160121567508
14,1017,1,0.000292338356487676
15,1018,1,0.000744719933659432
16,1020,1,6.83874205564816e-06
17,1022,1,0
18,1024,1,0.0888712618622909
19,1027,1,0.00231402804147185
20,1028,1,1.13960682668335e-07
21,1030,2,1.51615724419685e-08
22,1031,1,0.00595714207558529
23,1032,1,0.00204601737844001
24,1033,1,4.22724077964176e-11
25,1034,1,0.000208712728549276
26,1035,1,0.0116952182620744
27,1036,1,0.372914774495891
28,1037,2,0
29,1038,2,0.00115074950813865
30,1039,2,0.00593725051655036
31,1040,2,9.66888707654157e-07
32,1041,1,2.49712086364262e-06
33,1042,1,8.88178419700125e-16
