"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,1.91327398368912e-10
2,1003,1,8.26648406282438e-07
3,1004,1,7.84561071665024e-09
4,1006,1,1.04560626823513e-09
5,1007,1,1.11263364077629e-08
6,1008,1,4.90481006709675e-06
7,1009,1,6.47040798718024e-09
8,1010,1,1.58066440936189e-07
9,1011,1,2.26595162855503e-07
10,1012,1,6.29428575926738e-09
11,1013,1,1.74212685499775e-07
12,1014,1,2.60895749448764e-11
13,1015,1,1.95873761654752e-10
14,1017,1,9.22055799490451e-08
15,1018,1,3.5416094834595e-08
16,1020,1,8.16498646472041e-10
17,1022,1,4.35829150546851e-11
18,1024,1,2.66711319696356e-10
19,1027,1,2.61479069507686e-08
20,1028,1,1.80911498781633e-06
21,1030,2,0.00564174404212958
22,1031,1,6.4584853365357e-07
23,1032,1,3.04645197957143e-13
24,1033,1,2.02070771126994e-06
25,1034,1,2.70218663414035e-05
26,1035,1,2.11701474128745e-08
27,1036,1,1.99329235339718e-08
28,1037,2,3.44747230762721e-09
29,1038,1,0.0442591467519862
30,1039,1,0.0118538597302988
31,1040,2,3.74415581982923e-07
32,1041,1,1.24571908344251e-10
33,1042,1,3.86660925499882e-10
