"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,0.00010956213561597
2,1003,1,0.19587530086034
3,1004,1,2.13635553691915e-10
4,1006,1,0
5,1007,1,0.00437408300815345
6,1008,1,4.85634729985307e-07
7,1009,1,0.00447039623888756
8,1010,1,0.00125306192873353
9,1011,1,0.00179837723710086
10,1012,1,5.67819258279201e-09
11,1013,1,8.72188392131434e-06
12,1014,1,0.00018806462552079
13,1015,1,0.0441419169901445
14,1017,1,7.42703740952422e-06
15,1018,1,3.66391985751058e-07
16,1020,1,3.74711070461053e-06
17,1022,1,0
18,1024,1,0.0932688294533661
19,1027,1,0.00161076197858001
20,1028,1,1.49230509061127e-08
21,1030,2,1.8861587847141e-09
22,1031,1,0.00605532306531709
23,1032,1,0.00143762511653112
24,1033,1,1.66797686773634e-11
25,1034,1,0.000155613287288969
26,1035,1,0.00549055189929248
27,1036,1,0.184962555816055
28,1037,2,0
29,1038,2,0.000531185140517865
30,1039,2,0.00312421998402868
31,1040,2,2.04350044885615e-07
32,1041,1,1.35733604800237e-06
33,1042,1,6.66133814775094e-16
