"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1001,1,6.44909051528142e-06
2,1002,1,0
3,1003,1,0
4,1004,1,1.05204297975448e-05
5,1006,1,9.22875046716065e-07
6,1007,1,4.04809963328034e-10
7,1008,1,5.43787237461402e-13
8,1009,1,2.22044604925031e-16
9,1010,1,7.74980080109344e-11
10,1011,1,0.022607698122314
11,1012,1,2.22044604925031e-16
12,1013,1,0
13,1014,1,3.9235281690253e-13
14,1015,1,0.000125004814730434
15,1017,1,0
16,1018,1,4.44089209850063e-16
17,1020,1,4.9400483703721e-11
18,1022,2,0.369006872277963
19,1024,1,0
20,1025,1,0
21,1026,2,1.22766484755843e-08
22,1027,1,8.69906369160844e-10
23,1028,1,2.06501482580279e-14
24,1029,1,0.0001822779596512
25,1030,1,7.39852623610204e-13
26,1031,1,0.000368210243942624
27,1032,1,6.11066752753686e-13
28,1033,1,2.8835587251308e-09
29,1034,1,4.82872566198722e-06
30,1035,1,3.59607984834476e-06
31,1036,1,2.62657584015891e-07
32,1037,1,8.0637790670135e-05
33,1038,1,0.00171082210063878
34,1039,1,9.95719295904252e-09
35,1040,1,1.8050676620085e-08
36,1041,1,1.92972949841774e-08
37,1042,1,0.000368210243942624
