"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1001,1,2.22044604925031e-16
2,1002,1,1.80411241501588e-12
3,1003,1,2.88657986402541e-15
4,1004,1,2.73704392483864e-10
5,1006,1,8.66128352927653e-07
6,1007,1,1.1722344983589e-08
7,1008,1,2.56442866941597e-10
8,1009,1,1.15463194561016e-14
9,1010,1,1.15907283770866e-13
10,1011,1,1.29044175345427e-09
11,1012,1,4.61555521580337e-08
12,1013,1,5.8064681174308e-06
13,1014,1,1.23057120049452e-12
14,1015,1,1.86006765545699e-12
15,1017,1,4.21884749357559e-15
16,1018,1,2.63655763887982e-12
17,1020,1,2.73336908662714e-13
18,1022,1,0.00010449218769859
19,1024,1,1.31800570457585e-10
20,1025,1,6.96664947952286e-12
21,1026,2,1.25181833010579e-07
22,1027,1,7.61835039497782e-13
23,1028,1,3.41282557769773e-13
24,1029,1,2.38099162608307e-09
25,1030,1,8.65108018555105e-09
26,1031,1,5.25083865832165e-07
27,1032,1,7.79427156150092e-09
28,1033,1,9.70767244368176e-10
29,1034,1,1.39728666415095e-08
30,1035,1,3.90563137386835e-11
31,1036,1,6.61692922676593e-14
32,1037,1,2.47906317696334e-09
33,1038,1,2.49122522610890e-09
34,1039,1,5.97186744499822e-11
35,1040,1,2.60415466968311e-10
36,1041,1,3.88766796532991e-11
37,1042,1,5.25083865832165e-07
