"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,0.000395484184651518
2,1003,2,0.0126512811537717
3,1004,2,9.69642272425908e-05
4,1006,3,0.000413892313622433
5,1007,1,0.000475343885031232
6,1008,2,1.71134719859634e-05
7,1009,1,0.000103791315310464
8,1010,1,0.000659049574506465
9,1011,1,0.000700711386832031
10,1012,1,0.00403067000635993
11,1013,3,0.000413892313622433
12,1014,1,0.0681908457834101
13,1015,1,0.000133949196972627
14,1017,1,0.00128013115978931
15,1018,2,0.0361855854263584
16,1020,1,0.00461536241415827
17,1022,2,1.95597272822923e-08
18,1024,1,2.03534670492056e-05
19,1025,1,0.00220650430807434
20,1027,1,0.0394874110147089
21,1028,1,0.00982519050462205
22,1029,2,1.7202037450037e-07
23,1030,3,0.0100724438513622
24,1031,2,0.00971918748911105
25,1032,2,4.00939281774981e-10
26,1033,2,3.92853102715307e-07
27,1034,2,6.30846612252878e-05
28,1035,1,0.0208719030893072
29,1036,2,0.0021119703014062
30,1037,2,1.61171370249846e-07
31,1038,2,1.11022302462516e-14
32,1039,1,0.147399207007788
33,1040,2,0.365381136815522
34,1041,2,8.69955852108584e-05
35,1042,1,0.00896660293131457
