"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,1.5864774742802e-06
2,1003,2,0.119332896065984
3,1004,3,0.297001817358118
4,1006,3,0.234539676747281
5,1007,4,8.10684852581289e-13
6,1008,5,0.00100365356608145
7,1009,6,0.132448847369502
8,1010,6,0.00190982663163608
9,1011,4,4.21884749357559e-15
10,1012,4,1.28007581201572e-08
11,1013,4,7.96124444146784e-09
12,1014,7,0.47373038593886
13,1015,7,0.636409930652286
14,1017,4,2.89432278144375e-09
15,1018,6,0.0516958765693063
16,1020,2,0.00628318988080112
17,1022,2,0.093144869757421
18,1024,3,0.0905104354292592
19,1025,6,0.000135079688439288
20,1027,4,0.000127296113541453
21,1028,3,0.00478707077072438
22,1029,6,0.0105357868657155
23,1030,4,9.30631127715742e-11
24,1031,3,0.0607921967420073
25,1032,7,0.000102340029114578
26,1033,7,0.323984827336386
27,1034,2,0.016297082692324
28,1035,2,0.0510871115277339
29,1036,2,0.000205975715425022
30,1037,8,3.76276787505958e-12
31,1038,3,0.0123994154473998
32,1039,8,4.4514056440903e-08
33,1040,5,0.380163159811866
34,1041,8,3.64794860985285e-11
35,1042,7,0.000176903391272187
1,1002,3,0.155278782418587
2,1003,7,0.0595777862708954
3,1004,2,0.0501538030999806
4,1006,7,0.0420773198331557
5,1007,7,0.00255139257217718
6,1008,2,0.330601088365345
7,1009,8,2.40514275162695e-11
8,1010,8,7.78332953643712e-12
9,1011,5,0.373774334027495
10,1012,6,0.0437995314713611
11,1013,2,0.00263742100383402
12,1014,2,0.262166097027762
13,1015,6,0.00835489685225477
14,1017,7,0.0345681991543293
15,1018,2,0.00724296331316809
16,1020,2,0.00116972710249952
17,1022,2,0.00771502168044169
18,1024,8,0.00116508564347695
19,1025,6,0.00868373738307937
20,1027,6,0.0499338352604924
21,1028,7,0.0928154989136201
22,1029,6,0.00210956814046037
23,1030,3,0.0293470204554835
24,1031,5,0.201364520120663
25,1032,4,9.72611838512272e-07
26,1033,9,0.379127157904715
27,1034,7,0.00341884922307001
28,1035,2,0.020340561966408
29,1036,2,0.107358704518374
30,1037,8,4.81216499759185e-07
31,1038,7,0.036230623714173
32,1039,3,9.47264520355651e-05
33,1040,5,0.143154018783842
34,1041,3,0.00610150302686652
35,1042,9,1.7938048268995e-08
1,1002,3,0.000841691058711125
2,1003,2,0.151120028152199
3,1004,3,0.000159429060496041
4,1006,8,0.000151834095178494
5,1007,1,3.80417352130458e-06
6,1008,8,0.00318973272041079
7,1009,3,0.165587202369507
8,1010,8,0.000524189927768259
9,1011,3,0.466877764347607
10,1012,3,0.0134794833941191
11,1013,5,0.00545338475150081
12,1014,8,4.99757970562342e-08
13,1015,6,0.595866629715171
14,1017,4,0.00830006703510444
15,1018,5,0.000222202211078937
16,1020,5,0.000172477195433229
17,1022,8,0.000218592680541474
18,1024,7,0.307006067777585
19,1025,8,1.21723547796826e-07
20,1027,3,0.054643463202768
21,1028,2,0.00262544781794305
22,1029,3,0.00111011997073018
23,1030,3,0.000463663773250023
24,1031,3,0.0174676105929392
25,1032,1,0.00160100705992039
26,1033,6,0.18421550144171
27,1034,3,0.0290392055906356
28,1035,3,0.00582723017200504
29,1036,7,0.0207668848382424
30,1037,1,0.001583217530579
31,1038,8,0.000236910284954761
32,1039,2,0.0531365666850436
33,1040,2,0.00463690956368101
34,1041,8,6.0272995905386e-07
35,1042,2,0.325313852354863
1,1002,6,0.461411132344722
2,1003,7,0.0301336543546761
3,1004,1,0.000130611662638613
4,1006,6,0.0579495254201176
5,1007,5,0.39837268227869
6,1008,3,0.00651772923636906
7,1009,3,0.00123157490865433
8,1010,3,0.330755775609098
9,1011,5,0.0169418428706765
10,1012,4,7.78786023447608e-08
11,1013,4,2.31070651501852e-09
12,1014,3,0.349837238460176
13,1015,3,0.000683049445272199
14,1017,3,0.00157588689709842
15,1018,7,9.02167958625189e-05
16,1020,6,0.27376055133039
17,1022,8,7.00495217387243e-11
18,1024,3,0.000195185124754027
19,1025,3,0.000634606901886436
20,1027,1,0.332454590113273
21,1028,9,0.011042567244549
22,1029,2,0.000107507156504982
23,1030,3,0.0232521647982263
24,1031,5,0.361859230645091
25,1032,8,0.00166060737722684
26,1033,2,0.00367377377034939
27,1034,2,0.0103100783510838
28,1035,8,0.000894402810423967
29,1036,5,0.00147655091268106
30,1037,5,0.00987040734271272
31,1038,6,0.453038798780482
32,1039,7,0.00660566649375183
33,1040,2,0.432677527786088
34,1041,7,0.166170427256529
35,1042,2,0.116691509449529
1,1002,9,0.00104616388377099
2,1003,9,0.00244833199051664
3,1004,3,0.0387666774857633
4,1006,7,0.00169022952474307
5,1007,3,0.243647201423747
6,1008,5,0.0104562574121587
7,1009,9,6.87838334068047e-08
8,1010,5,0.401384024314526
9,1011,5,0.0918623344854655
10,1012,5,0.00402847068961043
11,1013,5,0.00436118178420986
12,1014,5,0.0544772834527359
13,1015,9,0.000144669493353344
14,1017,5,0.00916659417967303
15,1018,4,0.51610990055447
16,1020,2,0.0112997109857044
17,1022,5,0.00195504635676369
18,1024,3,0.0788109913846499
19,1025,3,0.0799055135434406
20,1027,5,0.427865982146691
21,1028,7,0.000761534812690035
22,1029,7,0.00590909128974659
23,1030,3,0.0279454797288903
24,1031,3,0.0812612177301746
25,1032,7,0.00417099026078382
26,1033,8,0.000235817782763936
27,1034,1,0.00263041056754076
28,1035,1,0.000244850269968122
29,1036,2,0.104207627669374
30,1037,1,0.000317575303075857
31,1038,1,2.38821299614056e-06
32,1039,1,0.00710093272158063
33,1040,2,0.00753047554735065
