"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1002,1,0.0288242472828032
2,1003,2,0.0155000712294655
3,1004,2,0
4,1006,2,3.60156349188401e-13
5,1007,1,0.0959781217189402
6,1008,2,1.0628301350124e-07
7,1009,1,0.0388663103646708
8,1010,1,0.22883988384024
9,1011,1,0.0882852494546413
10,1012,1,0.0576823344347396
11,1013,2,3.60156349188401e-13
12,1014,2,0.416241083549366
13,1015,1,0.0507511757253878
14,1017,1,0.0384150945893442
15,1018,2,0.0124925187968652
16,1020,2,0.0101762584362726
17,1022,2,0
18,1024,1,0.069845244819961
19,1025,1,0.0489717312755342
20,1027,1,0.314348930891441
21,1028,1,0.085468281666934
22,1029,2,8.82760531339954e-12
23,1030,2,2.90878432451791e-14
24,1031,2,7.19576876972994e-08
25,1032,2,3.5527136788005e-15
26,1033,2,5.24025267623074e-14
27,1034,2,2.05642169959219e-11
28,1035,2,0.00223378702976718
29,1036,2,5.27791669768796e-06
30,1037,2,3.44613226843649e-13
31,1038,2,0
32,1039,2,0.00496250100131057
33,1040,2,0.00407874345265946
34,1041,2,2.73345412193926e-07
35,1042,2,0.000662399513195022
