"Collector.Collection.Number","modelo.1.marzo","modelo.2.marzo","modelo.octubre","modelo.junio","Phenotypic.Group"
1001,1,1,NA,NA,2
1002,1,1,1,1,5
1003,1,1,2,1,3
1004,1,1,2,1,3
1006,1,1,3,1,5
1007,1,1,1,1,5
1008,1,1,2,1,5
1009,1,1,1,1,4
1010,1,1,1,1,2
1011,1,1,1,1,2
1012,1,1,1,1,5
1013,1,1,3,1,5
1014,1,1,1,1,3
1015,1,1,1,1,5
1017,1,1,1,1,2
1018,1,1,2,1,2
1020,1,1,1,1,4
1022,1,2,2,1,4
1024,1,1,1,1,5
1025,1,1,1,NA,5
1026,2,2,NA,NA,5
1027,1,1,1,1,2
1028,1,1,1,1,3
1029,1,1,2,NA,3
1030,1,1,3,2,3
1031,1,1,2,1,4
1032,1,1,2,1,5
1033,1,1,2,1,3
1034,1,1,2,1,3
1035,1,1,1,1,3
1036,1,1,2,1,3
1037,1,1,2,2,3
1038,1,1,2,2,3
1039,1,1,1,2,3
1040,1,1,2,2,3
1041,1,1,2,1,3
1042,1,1,1,1,4
