Numero_coleccion_planta_madre;Jardin_Comun;Fecha_siembra;Fecha_trasplante;Bandeja;Fila;Columna;Fecha_medicion;Longitud_tallo_(cm);Numero_de_hojas;OBSERVACIONES
1024;Quebradas;2/04/2019;6/08/2019;1A;3;9;9/03/2020;1.7;13;"Primeras hojas muertas y tres hojas amarillas; hoja tiene margen serrado"
1002;Quebradas;2/04/2019;6/08/2019;1A;5;10;9/03/2020;1.8;10;Primeras dos hojas muertas y 3 amarillas
1015;Quebradas;2/04/2019;6/08/2019;1A;1;7;9/03/2020;1.9;14;"Dos rosetas: 3 hojas; primeras dos hojas muertas"
1018;Quebradas;5/04/2019;6/08/2019;1A;2;5;9/03/2020;2.1;12;Primeras 3 hojas muertas y una amarilla
1028;Quebradas;5/04/2019;6/08/2019;1A;5;8;9/03/2020;2;15;Primeras 4 hojas muertas y 1 hoja amarilla
1009;Quebradas;5/04/2019;6/08/2019;1A;5;6;9/03/2020;0.9;14;Primeras 3 hojas muertasy una hoja muerta
1009;Quebradas;5/04/2019;6/08/2019;1A;3;7;9/03/2020;1.2;14;Primeras 4 hojas muertas y una hoja amarilla
1020;Quebradas;5/04/2019;6/08/2019;1A;3;1;9/03/2020;1.5;16;Primeras 4 hojas muertas
1010;Quebradas;5/04/2019;6/08/2019;1A;4;2;9/03/2020;1.5;15;Primeras 4 hojas muertas
1032;Quebradas;5/04/2019;6/08/2019;1A;1;5;9/03/2020;1.7;11;Primeras 4 hojas muertas
1025;Quebradas;5/04/2019;6/08/2019;1A;1;9;9/03/2020;1.7;11;4 hojas muertas y 1 amarilla
1007;Quebradas;5/04/2019;6/08/2019;1A;2;2;9/03/2020;0.8;11;2 hojas muertas y 2 amarillas
1012;Quebradas;5/04/2019;6/08/2019;1A;4;9;9/03/2020;1.3;10;3 hojas muertas y 1 amarilla
1014;Quebradas;5/04/2019;6/08/2019;1A;4;3;9/03/2020;1.1;15;1 hoja muerta y 3 hojas amarillas
1014;Quebradas;5/04/2019;6/08/2019;1A;2;7;9/03/2020;1.4;14;2 hojas muertas y 1 hoja amarilla
1014;Quebradas;5/04/2019;6/08/2019;1A;3;6;9/03/2020;1.7;16;2 hojas muertas y 1 hoja amarilla
1003;Quebradas;5/04/2019;6/08/2019;1A;4;7;9/03/2020;0.9;11;1 hoja muerta y 2 amarillas
1017;Quebradas;5/04/2019;6/08/2019;1A;5;7;10/03/2020;1.9;12;Primeras 3 hojas muertas y una amarilla
1003;Quebradas;5/04/2019;6/08/2019;1A;5;5;10/03/2020;1.7;10;"Segunda roseta: 1,2 (Longitud del tallo); 9 (número de hojas); 77 (ángulo 1); 137 (ángulo 2); 96 (ángulo 3); 154 (ángulo 4); 126 (ángulo 5); 143 (ángulo 6); 112 (ángulo 7). Dos rosetas en un mismo tallo, hojas con margen serrado. Hojas muertas: 2 (primera roseta), 1 (segunda roseta) "
1009;Quebradas;5/04/2019;6/08/2019;1A;5;1;10/03/2020;1.2;13;Primeras 5 hojas muertas y 2 hojas amarillas
