"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1001,1,2.22044604925031e-16
2,1002,1,7.53175299905706e-13
3,1003,1,1.99840144432528e-15
4,1004,1,2.66892286049369e-10
5,1006,1,7.77648639371797e-07
6,1007,1,9.7933084974855e-09
7,1008,1,1.91441307251239e-10
8,1009,1,8.65973959207622e-15
9,1010,1,9.88098491916389e-14
10,1011,1,1.4836811779162e-09
11,1012,1,7.62005134546939e-08
12,1013,1,3.54716652850584e-06
13,1014,1,9.88320536521314e-13
14,1015,1,1.92157401102122e-12
15,1017,1,8.65973959207622e-15
16,1018,1,1.98374650040023e-12
17,1020,1,2.31370478331883e-13
18,1022,1,0.000127337451593545
19,1024,1,8.19933010376417e-11
20,1025,1,3.72257780156815e-12
21,1026,2,1.08009901578221e-07
22,1027,1,6.65023591750469e-13
23,1028,1,2.86659584958215e-13
24,1029,1,2.4183726132776e-09
25,1030,1,6.76768219243229e-09
26,1031,1,5.21696253641402e-07
27,1032,1,6.08886896458216e-09
28,1033,1,8.39837976940316e-10
29,1034,1,1.32007049735705e-08
30,1035,1,7.14250880662348e-12
31,1036,1,1.27453603226968e-13
32,1037,1,2.47908449324541e-09
33,1038,1,2.65280952760349e-09
34,1039,1,5.30373522877881e-11
35,1040,1,2.31760610702736e-10
36,1041,1,3.48689965790072e-11
37,1042,1,5.21696253641402e-07
