"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1001,1,6.44275079186851e-06
2,1002,1,0
3,1003,1,0
4,1004,1,1.17851015459802e-05
5,1006,1,1.11866523644366e-06
6,1007,1,5.09310371654692e-10
7,1008,1,7.26974036524553e-13
8,1009,1,2.22044604925031e-16
9,1010,1,9.36990485200795e-11
10,1011,1,0.0245803870140489
11,1012,1,0
12,1013,1,0
13,1014,1,5.11590769747272e-13
14,1015,1,0.000130496836726168
15,1017,1,0
16,1018,1,6.66133814775094e-16
17,1020,1,6.03064265192188e-11
18,1022,2,0.313114841094031
19,1024,1,0
20,1025,1,0
21,1026,2,7.56097817689039e-09
22,1027,1,1.03063624301569e-09
23,1028,1,3.06643599401468e-13
24,1029,1,0.000203950460256119
25,1030,1,9.87654402706539e-13
26,1031,1,0.000431020373302005
27,1032,1,8.17124146124115e-13
28,1033,1,3.51435214263063e-09
29,1034,1,5.62384209290556e-06
30,1035,1,2.34846995517124e-06
31,1036,1,2.80118926831996e-07
32,1037,1,9.07405686606522e-05
33,1038,1,0.00189146696693476
34,1039,1,1.17834185742183e-08
35,1040,1,2.14357938066456e-08
36,1041,1,2.26164243999349e-08
37,1042,1,0.000431020373302005
