"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1001,2,6.69948725384728e-06
2,1002,2,0
3,1003,2,0
4,1004,2,1.21482178906396e-05
5,1006,2,1.15147579660135e-06
6,1007,2,5.26096055608605e-10
7,1008,2,7.54285522930331e-13
8,1009,2,2.22044604925031e-16
9,1010,2,9.76621006287814e-11
10,1011,2,0.0251598279128505
11,1012,2,0
12,1013,2,0
13,1014,2,5.33351141029925e-13
14,1015,2,0.000134494661041873
15,1017,2,0
16,1018,2,6.66133814775094e-16
17,1020,2,6.28228580268342e-11
18,1022,1,0.3078256560649
19,1024,2,0
20,1025,2,0
21,1026,1,7.24352045011756e-09
22,1027,2,1.07119890735419e-09
23,1028,2,3.20188320301895e-13
24,1029,2,0.000209779177619884
25,1030,2,1.02162722726007e-12
26,1031,2,0.000443018680737373
27,1032,2,8.45323810949594e-13
28,1033,2,3.63347529841462e-09
29,1034,2,5.79289176916298e-06
30,1035,2,2.42659895022257e-06
31,1036,2,2.90528212154584e-07
32,1037,2,9.33788013668391e-05
33,1038,2,0.00194239094590365
34,1039,2,1.21967119737221e-08
35,1040,2,2.2163817225973e-08
36,1041,2,2.3408632032762e-08
37,1042,2,0.000443018680737373
