"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1000,1,0
2,1001,1,0
3,1002,1,0
4,1003,1,0
5,1004,1,0
6,1005,1,0
7,1006,1,0
8,1007,1,0
9,1008,1,0
10,1009,1,0
11,1010,1,0
12,1011,1,0
13,1012,1,0
14,1013,1,0
15,1014,1,0
16,1015,1,0
17,1016,1,0
18,1017,1,0
19,1018,1,0
20,1019,1,0
21,1020,1,0
22,1021,1,0
23,1022,1,0
24,1023,1,0
25,1024,1,0
26,1025,1,0
27,1026,1,0
28,1027,1,0
29,1028,1,0
30,1029,1,0
31,1030,1,0
32,1031,1,0
33,1032,1,0
34,1033,1,0
35,1034,1,0
36,1035,1,0
37,1036,1,0
38,1037,1,0
39,1038,1,0
40,1039,1,0
41,1040,1,0
42,1041,1,0
43,1042,1,0
