"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,"1001",1,0.00319775000551092
2,"1002",4,0.249019776718869
3,"1003",3,0
4,"1004",2,0.449794056773461
5,"1006",4,0.225699681522386
6,"1007",4,0
7,"1008",4,0
8,"1009",2,0.185747976509013
9,"1010",4,0.266779307216166
10,"1011",4,0.225699681522386
11,"1012",4,0.393639129348692
12,"1013",4,0.225699681522386
13,"1014",3,0
14,"1015",4,0.292708674853468
15,"1017",4,0.240640826463287
16,"1018",4,0.225699681522386
17,"1020",4,0
18,"1022",2,0.208929338494835
19,"1024",4,0
20,"1025",5,0.0125988934590413
21,"1026",1,8.88178419700125e-14
22,"1027",4,0.225699681522386
23,"1028",3,0
24,"1029",5,0.0125988934590413
25,"1030",4,0.225699681522386
26,"1031",4,0.225699681522386
27,"1032",3,0
28,"1033",4,0.42067633812867
29,"1034",3,0
30,"1035",4,0
31,"1036",4,0
32,"1037",4,0
33,"1038",4,0.225699681522386
34,"1039",4,0.353775541461252
35,"1040",4,0.292708674853468
36,"1041",4,0
37,"1042",1,0
