"Número
colección
planta
madre",Jardín Común,"Fecha
siembra","Fecha
trasplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (cm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),OBSERVACIONES
1024,Quebradas,02-04-2019,06-08-2019,1A,3,9,09-03-2020,1.7,13,140,92,167,101,158,122,152,138,156,99,161,NA,NA,NA,NA,Primeras hojas muertas y tres hojas amarillas; hoja tiene margen serrado
1002,Quebradas,02-04-2019,06-08-2019,1A,5,10,09-03-2020,1.8,10,163,144,161,119,158,154,132,111,NA,NA,NA,NA,NA,NA,NA,Primeras dos hojas muertas y 3 amarillas
1015,Quebradas,02-04-2019,06-08-2019,1A,1,7,09-03-2020,1.9,14,143,116,154,128,85,140,94,143,148,126,140,NA,NA,NA,NA,Dos rosetas: 3 hojas; primeras dos hojas muertas
1028,Quebradas,05-04-2019,06-08-2019,1A,2,3,09-03-2020,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tiene muchas rosetas;aprox 7 y la principal mas de 20 hojas
1018,Quebradas,05-04-2019,06-08-2019,1A,2,5,09-03-2020,2.1,12,137,165,104,163,96,157,133,128,132,146,NA,NA,NA,NA,NA,Primeras 3 hojas muertas y una amarilla
1028,Quebradas,05-04-2019,06-08-2019,1A,5,8,09-03-2020,2,15,160,93,164,117,154,141,161,147,130,141,152,117,91,NA,NA,Primeras 4 hojas muertas y 1 hoja amarilla
1009,Quebradas,05-04-2019,06-08-2019,1A,5,6,09-03-2020,0.9,14,153,128,147,122,154,129,133,137,159,82,184,108,176,NA,NA,Primeras 3 hojas muertasy una hoja muerta
1009,Quebradas,05-04-2019,06-08-2019,1A,1,1,09-03-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plántula muerta
1009,Quebradas,05-04-2019,06-08-2019,1A,3,7,09-03-2020,1.2,14,159,101,155,90,142,130,152,123,137,136,155,123,NA,NA,NA,Primeras 4 hojas muertas y una hoja amarilla
1020,Quebradas,05-04-2019,06-08-2019,1A,3,1,09-03-2020,1.5,16,66,140,125,142,164,121,137,124,142,131,158,128,157,131,NA,Primeras 4 hojas muertas
1010,Quebradas,05-04-2019,06-08-2019,1A,4,2,09-03-2020,1.5,15,166,118,162,130,150,146,117,151,139,147,134,136,119,NA,NA,Primeras 4 hojas muertas
1032,Quebradas,05-04-2019,06-08-2019,1A,1,5,09-03-2020,1.7,11,157,109,167,111,166,117,132,149,115,NA,NA,NA,NA,NA,NA,Primeras 4 hojas muertas
1025,Quebradas,05-04-2019,06-08-2019,1A,1,9,09-03-2020,1.7,11,145,104,96,123,136,144,156,121,120,NA,NA,NA,NA,NA,NA,4 hojas muertas y 1 amarilla
