Índice,"Número
colección
planta
madre","Fecha
siembra","Fecha
transplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (mm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),índice2,Nombre_contorno,OBSERVACIONES,ARCHIVO.TIFF
142,1018,4/5/2019,11/4/2019,3A,5,2,6/25/2023,NA,13,195,81,175,78,176,29,235,85,120,NA,NA,NA,NA,NA,NA,106,106_24-06-2023_1018_05-04-2019_04-11-2019_3A_5_2,POSIBLE ERROR EN LA LONGITUD DEL TALLO,106_24-06-2023_1018_05-04-2019_04-11-2019_3A_5_2.tiff
156,1037,4/2/2019,12/7/2019,4A,1,6,6/25/2023,23.98,2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96_21-06-2023_1037_02-04-2019_07-12-2019_4A_1_6,"2 HOJAS AMARILLAS, MUY MARCHITA",96_21-06-2023_1037_02-04-2019_07-12-2019_4A_1_6.tiff
160,1036,4/5/2019,12/7/2019,4A,1,10,6/24/2023,27.43,5,170,118,70,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12_10-06-2023_1036_05-04-2019_07-12-2019_4A_1_10,NA,12_10-06-2023_1036_05-04-2019_07-12-2019_4A_1_10.tiff
100,1039,4/2/2019,9/4/2019,2A,5,10,6/24/2023,28.08,7,125,173,190,98,85,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,89_21-06-2023_1039_02-04-2019_04-09-2019_2A_5_10,NA,89_21-06-2023_1039_02-04-2019_04-09-2019_2A_5_10.tiff
250,1040,4/5/2019,12/7/2019,5A,5,9,6/27/2023,28.13,4,175,65,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,143_25-06-2023_1040_05-04-2019_07-12-2019_5A_5_9,NA,143_25-06-2023_1040_05-04-2019_07-12-2019_5A_5_9.tiff
138,1036,4/5/2019,11/4/2019,3A,4,8,6/25/2023,30.45,NA,214,220,170,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99_23-06-2023_1036_05-04-2019_04-11-2019_3A_4_8,"TALLO PRINCIPAL MARCHITO, TODAS LAS MEDIDAS DESDE LA ROSETA LATERAL VIVA. ERROR EN EL NÚMERO DE HOJAS",99_23-06-2023_1036_05-04-2019_04-11-2019_3A_4_8.tiff
214,1010,4/5/2019,12/7/2019,5A,2,3,6/25/2023,31.11,7,102,174,108,95,164,110,140,NA,NA,NA,NA,NA,NA,NA,NA,82,82_21-06-2023_1010_05-04-2019_07-12-2019_5A_2_3,TODAS LAS HOJAS ESTÁN AMARILLAS,82_21-06-2023_1010_05-04-2019_07-12-2019_5A_2_3.tiff
81,1007,4/5/2019,9/4/2019,2A,4,1,5/27/2023,33.02,12,92,24,73,35,177,112,117,186,98,156,NA,NA,NA,NA,NA,58,58_10-06-2023_1007_05-04-2019_04-09-2019_2A_4_1,dos hojas amarillentas,58_10-06-2023_1007_05-04-2019_04-09-2019_2A_4_1.tiff
28,1008,4/5/2019,8/6/2019,1A,3,8,6/27/2023,35.4,5,140,151,73,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,176_26-06-2023_1008_05-04-2019_06-08-2019_1A_3_8,1 roseta lateral,176_26-06-2023_1008_05-04-2019_06-08-2019_1A_3_8.tiff
241,1034,4/5/2019,12/7/2019,5A,4,10,6/27/2023,35.52,9,220,178,200,282,145,106,62,81,NA,NA,NA,NA,NA,NA,NA,136,136_25-06-2023_1034_05-04-2019_07-12-2019_5A_4_10,1 ROSETA GRANDE,136_25-06-2023_1034_05-04-2019_07-12-2019_5A_4_10.tiff
77,1027,4/5/2019,9/4/2019,2A,3,7,6/25/2023,37.06,8,194,86,125,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,123_25-06-2023_1027_05-04-2019_04-09-2019_2A_3_7,NA,123_25-06-2023_1027_05-04-2019_04-09-2019_2A_3_7.tiff
190,1039,4/2/2019,12/7/2019,4A,4,10,6/27/2023,37.75,6,190,255,125,260,230,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,174_26-06-2023_1039_02-04-2019_07-12-2019_4A_4_10,NA,174_26-06-2023_1039_02-04-2019_07-12-2019_4A_4_10.tiff
119,1037,4/2/2019,11/4/2019,3A,2,9,6/24/2023,38.45,5,160,148,107,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,83_21-06-2023_1037_02-04-2019_04-11-2019_3A_2_9,NA,83_21-06-2023_1037_02-04-2019_04-11-2019_3A_2_9.tiff
