"Número.colección.planta.madre","nombre.progenie","Fecha.siembra","Fecha.trasplante","Fecha.medición.1","reclutamiento.1","Fecha.medición.2","reclutamiento.2","Fecha.medición.3","reclutamiento.3"
1009,"1A_1_1",2019-04-05,2019-08-06,NA,"M",NA,"M",NA,"M"
1003,"1A_1_2",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-13,"V",NA,"M"
1007,"1A_1_3",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-16,"V",2023-06-22,"V"
1017,"1A_1_4",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-06-22,"V"
1032,"1A_1_5",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-23,"V"
1007,"1A_1_6",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-06-27,"V"
1015,"1A_1_7",2019-04-02,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-22,"V"
1009,"1A_1_8",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-17,"V",2023-06-24,"V"
1025,"1A_1_9",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",NA,"M"
1017,"1A_1_10",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-13,"V",2023-06-23,"V"
1036,"1A_2_1",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-17,"V",2023-06-23,"V"
1007,"1A_2_2",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-27,"V"
1028,"1A_2_3",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-17,"V",NA,"M"
1009,"1A_2_4",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-06-22,"V"
1018,"1A_2_5",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-15,"V",2023-05-27,"V"
1013,"1A_2_6",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-16,"V",2023-06-24,"V"
1014,"1A_2_7",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-05-28,"V"
1020,"1A_2_8",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-17,"V",NA,"M"
1027,"1A_2_9",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-06-27,"V"
1009,"1A_2_10",2019-04-05,2019-08-06,2020-03-10,"V",NA,"M",NA,"M"
1020,"1A_3_1",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-15,"V",2023-06-25,"V"
1035,"1A_3_2",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-06-25,"V"
1003,"1A_3_3",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-17,"V",2023-06-26,"V"
1008,"1A_3_4",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-06-22,"V"
1009,"1A_3_5",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-06-27,"V"
1014,"1A_3_6",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-27,"V"
1009,"1A_3_7",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-25,"V"
1008,"1A_3_8",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-06-27,"V"
1024,"1A_3_9",2019-04-02,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-23,"V"
1027,"1A_3_10",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-16,"V",2023-06-23,"V"
1017,"1A_4_1",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-06-25,"V"
1010,"1A_4_2",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",2023-06-22,"V"
1014,"1A_4_3",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-14,"V",NA,"M"
1012,"1A_4_4",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-12,"V",NA,"M"
1003,"1A_4_5",2019-04-05,2019-08-06,2020-03-10,"V",NA,"M",NA,"M"
1036,"1A_4_6",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-06-27,"V"
1003,"1A_4_7",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-15,"V",NA,"M"
1003,"1A_4_8",2019-04-05,2019-08-06,NA,"M",NA,"M",NA,"M"
1012,"1A_4_9",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-15,"V",NA,"M"
1007,"1A_4_10",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-05-27,"V"
1009,"1A_5_1",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-14,"V",2023-05-28,"V"
1007,"1A_5_2",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-15,"V",2023-05-27,"V"
1035,"1A_5_3",2019-04-05,2019-08-06,2020-03-10,"V",2020-11-17,"V",2023-06-26,"V"
1042,"1A_5_4",2019-04-05,2019-08-06,NA,"M",NA,"M",NA,"M"
1003,"1A_5_5",2019-04-05,2019-08-06,2020-03-10,"V",NA,"M",NA,"M"
1009,"1A_5_6",2019-04-05,2019-08-06,2020-03-09,"V",2020-11-13,"V",2023-06-22,"V"
