"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_073","Pineda Yam","73",-74.34472,3.82612,3883,26.9,3.085,48,2.8,0,3,14.6666666666667,4.6,24.2666666666667,6.61666666666667,16.4233333333333,9.52666666666667,2.25,NA,NA
"YAM_074","Pineda Yam","74",-74.34472,3.82612,3883,NA,NA,50,2.7,0,4,9.16666666666667,4.575,NA,NA,NA,NA,NA,NA,NA
"YAM_075","Pineda Yam","75",-74.34859,3.80665,3883,24.6,3.23666666666667,66,2.3,2,11,2.47666666666667,2.025,12.5033333333333,8.15333333333333,12.3833333333333,7.22666666666667,1.57666666666667,NA,NA
"YAM_076","Pineda Yam","76",-74.34895,3.80665,3884,31.25,3.045,56,2.5,1,11,3.28,1.83333333333333,14.5666666666667,5.21333333333333,9.45,6.82666666666667,2.37333333333333,NA,NA
"YAM_077","Pineda Yam","77",-74.34895,3.80665,3884,22.25,3.5,43,2,1,18,2.45,1.675,10.7233333333333,4.16666666666667,7.77666666666667,6.00666666666667,1.93,NA,NA
"YAM_078","Pineda Yam","78",-74.35671,3.81611,3774,11.9333333333333,0.896,21,0.833333333333333,3.66666666666667,5.33333333333333,1.45,1.23333333333333,9.84666666666667,3.13,6.65333333333333,4.39,2.02,NA,NA
"YAM_079","Pineda Yam","79",-74.37349,3.82578,3461,33.1666666666667,4.35666666666667,64.6666666666667,2.13333333333333,0,18.6666666666667,1.7,1.245,8.31333333333333,2.84,6.27,5.78666666666667,1.82666666666667,NA,NA
"YAM_080","Pineda Yam","80",-74.37351,3.82581,3460,37.4,NA,99,2.86666666666667,0,28.6666666666667,2.83333333333333,1.75,NA,NA,NA,NA,NA,NA,NA
"YAM_081","Pineda Yam","81",-74.18656,4.24432,3532,31.7,3.05,71,2.23333333333333,1,13,3.48833333333333,1.58,13.9166666666667,4.44333333333333,10.68,6.19666666666667,1.90333333333333,NA,NA
"YAM_082","Pineda Yam","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_083","Pineda Yam","83",-74.18673,4.24431,3531,26,2.5,79.75,2.05,2,14.5,3.28666666666667,2.725,NA,NA,NA,NA,NA,NA,NA
"YAM_084","Pineda Yam","84",-74.18673,4.24431,3531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_085","Pineda Yam","85",-74.18559,4.24609,3531,29.9666666666667,2.13333333333333,80,2.66666666666667,1,20.3333333333333,2.96,2.16,NA,NA,NA,NA,NA,NA,NA
"YAM_086","Pineda Yam","86",-74.18559,4.24609,3531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_087","Pineda Yam","87",-74.1854,4.26619,3521,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_088","Pineda Yam","88",-74.17425,4.21738,3470,43.4596666666667,3.69766666666667,87,2.36666666666667,1,14.3333333333333,4.38666666666667,1.6975,10.71,4.99666666666667,8.64333333333333,5.98333333333333,1.36,NA,NA
"YAM_089","Pineda Yam","89",-74.17425,4.21742,3472,39.5846666666667,1.683,97.3333333333333,2.53333333333333,1,25,1.86333333333333,1.62375,NA,NA,NA,NA,NA,NA,NA
"YAM_090","Pineda Yam","90",-74.17419,4.21742,3472,21.3066666666667,1.13333333333333,44.5,1.35,2,11.5,3.346,1.0625,5.32,3.35,3.47333333333333,2.74666666666667,1.16,NA,NA
"YAM_091","Pineda Yam","91",-74.17408,4.21745,3469,20.6086666666667,1.69333333333333,56.5,1.2,2,18,2.13333333333333,1,5.31,3.67,4.84666666666667,4.06666666666667,1.50333333333333,NA,NA
"YAM_092","Pineda Yam","92",-74.14427,4.21748,3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_093","Pineda Yam","93",-74.17423,4.21758,3473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_094","Pineda Yam","94",-74.17571,4.21966,3408,35.1706666666667,4.80333333333333,78,3,1,20,3.07,1.7,NA,NA,NA,NA,NA,NA,NA
"YAM_095","Pineda Yam","95",-74.17558,4.2196,3490,30.6563333333333,1.66233333333333,79.6666666666667,2.46666666666667,1,19.6666666666667,2.45,2.05,NA,NA,NA,NA,NA,NA,NA
"YAM_096","Pineda Yam","96",-74.17551,4.21962,3488,21.332,1.79,83,1.8,2,24,2.17333333333333,1.395,NA,NA,NA,NA,NA,NA,NA
"YAM_097","Pineda Yam","97",-74.17546,4.21966,3486,34.5346666666667,1.2,120.5,3.15,1.5,17.5,4.44833333333333,1.35,NA,NA,NA,NA,NA,NA,NA
"YAM_098","Pineda Yam","98",-74.1775,4.21961,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_099","Pineda Yam","99",-74.17544,4.21974,3485,33.514,1.338,101.5,2.06666666666667,3,10.3333333333333,5.88333333333333,1.1,5.41666666666667,3.46666666666667,5.43666666666667,3.57,1.14666666666667,NA,NA
"YAM_100","Pineda Yam","100",-74.17545,4.21975,3485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_101","Pineda Yam","101",-74.18034,4.24057,3648,28.11,1.493,80.6666666666667,2.03333333333333,1,15,2.86166666666667,2.25,NA,NA,NA,NA,NA,NA,NA
"YAM_102","Pineda Yam","102",-74.18034,4.24057,3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_103","Pineda Yam","103",-74.18031,4.241361,3649,29.7165,1.314,61.3333333333333,1.7,1,8,2.63,2.175,NA,NA,NA,NA,NA,NA,NA
"YAM_104","Pineda Yam","104",-74.18031,4.241361,3649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_105","Pineda Yam","105",-74.18031,4.241306,3649,28.8195,1.7765,60.3333333333333,2.4,1,10.6666666666667,3.26666666666667,2.2,NA,NA,NA,NA,NA,NA,NA
"YAM_106","Pineda Yam","106",-74.18031,4.241306,3650,27.8375,1.7925,81,2.46666666666667,1,17.3333333333333,1.95666666666667,2.175,NA,NA,NA,NA,NA,NA,NA
"YAM_107","Pineda Yam","107",-74.18031,4.241306,3650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_108","Pineda Yam","108",-74.18036,4.253861,3701,35.253,1.681,85.6666666666667,1.96666666666667,1,14.3333333333333,3.13333333333333,1.975,NA,NA,NA,NA,NA,NA,NA
"YAM_109","Pineda Yam","109",-74.18036,4.253861,3702,22.357,1.2485,67.3333333333333,1.63333333333333,1,9,1.60833333333333,2.6,NA,NA,NA,NA,NA,NA,NA
"YAM_110","Pineda Yam","110",-74.18036,4.253861,3702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_111","Pineda Yam","111",-74.18036,4.253861,3701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_112","Pineda Yam","112",-74.17944,4.253889,3708,19.5945,3.026,61,1.6,1,7,4.06666666666667,2.4,NA,NA,NA,NA,NA,NA,NA
"YAM_113","Pineda Yam","113",-74.17944,4.253889,3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_114","Pineda Yam","114",-74.17944,4.253889,3708,26.3025,2.273,58,1.96666666666667,0.5,11.3333333333333,2.725,2,NA,NA,NA,NA,NA,NA,NA
"YAM_115","Pineda Yam","115",-74.17944,4.253889,3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_116","Pineda Yam","116",-74.18614,4.256972,3562,45.975,2.773,85.3333333333333,2.23333333333333,1,11.6666666666667,2.792,2.0325,NA,NA,NA,NA,NA,NA,NA
"YAM_117","Pineda Yam","117",-74.18619,4.256917,3562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_118","Pineda Yam","118",-74.16806,4.22814,3399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_119","Pineda Yam","119",-74.16807,4.22854,3399,NA,NA,72.25,1.4,2,11.5,1.79,1.4975,NA,NA,NA,NA,NA,NA,NA
"YAM_120","Pineda Yam","120",-74.16778,4.22913,3408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_121","Pineda Yam","121",-74.15767,4.22908,3408,NA,NA,145.666666666667,2.63333333333333,3.5,28.3333333333333,2.085,1.47,NA,NA,NA,NA,NA,NA,NA
"YAM_122","Pineda Yam","122",-74.18172,4.23715,3672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_123","Pineda Yam","123",-74.18157,4.23719,3672,NA,NA,66.5,1.53333333333333,2.5,19,1.81333333333333,1.2525,5.33333333333333,2.84,3.83666666666667,4.29,1.84333333333333,NA,NA
"YAM_124","Pineda Yam","124",-74.18154,4.23726,3673,NA,NA,77.1666666666667,2.8,0,8.66666666666667,4.23833333333333,2.53,NA,NA,NA,NA,NA,NA,NA
"YAM_125A","Pineda Yam","125A",-74.18153,4.23725,3674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAM_125","Pineda Yam","125",-74.18173,4.23731,3678,25.3396666666667,3.99866666666667,75.8,2.23333333333333,1,15.6666666666667,4.366,2.025,NA,NA,NA,NA,NA,NA,NA
"YAM_126","Pineda Yam","126",-74.18173,4.23731,3678,26.435,4.2795,80.6666666666667,1.96666666666667,1,13.3333333333333,2.6,2.0625,NA,NA,NA,NA,NA,NA,NA
