"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_1000","Pineda Yam",1000,NA,NA,NA,43.15,4.5275,115.475,2.175,0,18.75,2.9275,1.2775,1.37,0.505,0.995,0.4925,0.15,NA,NA
"YAM_1001","Pineda Yam",1001,NA,NA,NA,29.3666666666667,3.76,107.633333333333,2.23333333333333,1,19.3333333333333,2.955,1.353,1.20466666666667,0.612666666666667,0.909,0.553333333333333,0.216,NA,NA
"YAM_1002","Pineda Yam",1002,NA,NA,NA,39.475,3.1075,73.15,3.8,0,9.5,4.9625,2.3875,1.6425,1.1575,1.2075,0.7875,0.2275,NA,NA
"YAM_1003","Pineda Yam",1003,NA,NA,NA,25.7333333333333,3.05333333333333,55.2,2.13333333333333,0,25.3333333333333,1.63,1.43666666666667,1.01666666666667,0.46,0.956666666666667,0.52,0.166666666666667,NA,NA
"YAM_1004","Pineda Yam",1004,NA,NA,NA,23.8,3.30333333333333,66.4,1.9,0,19.6666666666667,3.13,1.53333333333333,1.44333333333333,0.5,1.18,0.82,0.256666666666667,NA,NA
"YAM_1005","Pineda Yam",1005,NA,NA,NA,34.4666666666667,4.03,69.2666666666667,2.96666666666667,0,5.66666666666667,9.14,2.88666666666667,2.31666666666667,1.36,1.42833333333333,0.879333333333333,0.228,NA,NA
"YAM_1006","Pineda Yam",1006,NA,NA,NA,35.3333333333333,4.28,74.5666666666667,3.06666666666667,0,5,7.31,4.15666666666667,2.18,1.87333333333333,0.91,0.813333333333333,0.316666666666667,NA,NA
"YAM_1007","Pineda Yam",1007,NA,NA,NA,32.7,3.20333333333333,56.3666666666667,1.96666666666667,0,3,9.10333333333333,3.29,2.45,1.85,1.53666666666667,0.85,0.273333333333333,NA,NA
"YAM_1008","Pineda Yam",1008,NA,NA,NA,45.5333333333333,3.19666666666667,66.1333333333333,4.36666666666667,0,5,6.79333333333333,3.87333333333333,2.54,1.66666666666667,1.45,0.633333333333333,0.233333333333333,NA,NA
"YAM_1009","Pineda Yam",1009,NA,NA,NA,35.7333333333333,4.71666666666667,78.7,3.6,4,18.6666666666667,2.52333333333333,2.10333333333333,1.25,0.726666666666667,1.01,0.156666666666667,0.296666666666667,NA,NA
"YAM_1010","Pineda Yam",1010,NA,NA,NA,37.0333333333333,2.28333333333333,77.4333333333333,2.1,3.66666666666667,12.6666666666667,2.99666666666667,1.53666666666667,1.46333333333333,0.763333333333333,1.18,0.71,0.203333333333333,NA,NA
"YAM_1011","Pineda Yam",1011,NA,NA,NA,29.0333333333333,3.40333333333333,79.1333333333333,1.56666666666667,1,7.33333333333333,2.76333333333333,1.85333333333333,1.39333333333333,0.573333333333333,1.07,0.693333333333333,0.29,NA,NA
"YAM_1012","Pineda Yam",1012,NA,NA,NA,39.4333333333333,3.36333333333333,75.6666666666667,2.4,0,5,6.37,2.60666666666667,1.88,0.94,1.37666666666667,0.56,0.383333333333333,NA,NA
"YAM_1013","Pineda Yam",1013,NA,NA,NA,41.3,3.19666666666667,62.5333333333333,3.26666666666667,0,5,4.77666666666667,2.61666666666667,1.14,1.76,1.03333333333333,0.853333333333333,0.293333333333333,NA,NA
"YAM_1014","Pineda Yam",1014,NA,NA,NA,27.1666666666667,3.60333333333333,68.8,2.6,0,19.3333333333333,3.29666666666667,0.946666666666667,1.30666666666667,0.473333333333333,0.703333333333333,0.396666666666667,0.19,NA,NA
"YAM_1015","Pineda Yam",1015,NA,NA,NA,33.3,2.87,55.2666666666667,2.26666666666667,0,5,6.82666666666667,2.77,2.14333333333333,1.43333333333333,1.23333333333333,0.853333333333333,0.276666666666667,NA,NA
"YAM_1016","Pineda Yam",1016,NA,NA,NA,25.3333333333333,3.18666666666667,69.0666666666667,1.83333333333333,0,11,2.165,1.03,1.15666666666667,0.34,0.86,0.58,0.273333333333333,NA,NA
"YAM_1017","Pineda Yam",1017,NA,NA,NA,32.2666666666667,2.58666666666667,73.1333333333333,2.23333333333333,1,17.6666666666667,3.19,1.55,1.22,0.52,0.896666666666667,0.436666666666667,0.19,NA,NA
"YAM_1018","Pineda Yam",1018,NA,NA,NA,34.1666666666667,4.84666666666667,95.0333333333333,1.93333333333333,1,25.3333333333333,3.13666666666667,1.64,1.39666666666667,0.406666666666667,0.68,0.44,0.21,NA,NA
"YAM_1019","Pineda Yam",1019,NA,NA,NA,40.9666666666667,3.54,65.0333333333333,3.16666666666667,0,5,8.32666666666667,3.09666666666667,2.58,1.97,2.03,0.93,0.246666666666667,NA,NA
"YAM_1020","Pineda Yam",1020,NA,NA,NA,25.9,3.5,93.8333333333333,2.3,2,15.6666666666667,3.855,1,1.22666666666667,0.546666666666667,0.676666666666667,0.523333333333333,0.2,NA,NA
"YAM_1021","Pineda Yam",1021,NA,NA,NA,36.9666666666667,2.84666666666667,59.8333333333333,2,0,3,9.01333333333333,3.06666666666667,2.46666666666667,1.77333333333333,1.77333333333333,0.873333333333333,0.276666666666667,NA,NA
"YAM_1022","Pineda Yam",1022,NA,NA,NA,30.1333333333333,3.53333333333333,59.8333333333333,1.96666666666667,1,12.6666666666667,1.00666666666667,1.17,1.35,0.626666666666667,0.506666666666667,0.42,0.176666666666667,NA,NA
"YAM_1023","Pineda Yam",1023,NA,NA,NA,33.2666666666667,3.14,82.4333333333333,2.33333333333333,0,28,2.13666666666667,1.51333333333333,1.32333333333333,0.58,1.14,0.693333333333333,0.263333333333333,NA,NA
"YAM_1024","Pineda Yam",1024,NA,NA,NA,36.8,3.41666666666667,59.2666666666667,3.26666666666667,0,7,3.71666666666667,2.38333333333333,2.81333333333333,1.54666666666667,1.9,1.03666666666667,0.34,NA,NA
"YAM_1025","Pineda Yam",1025,NA,NA,NA,40.2,3.93333333333333,59.5333333333333,2.73333333333333,0,5.66666666666667,3.22666666666667,2.38333333333333,2.29333333333333,1.46666666666667,1.70666666666667,0.653333333333333,0.3,NA,NA
"YAM_1026","Pineda Yam",1026,NA,NA,NA,38.7666666666667,3.24,68.4666666666667,2.36666666666667,0,7,5.32333333333333,2.13666666666667,2.47333333333333,1.26333333333333,1.38333333333333,0.903333333333333,0.25,NA,NA
"YAM_1027","Pineda Yam",1027,NA,NA,NA,28.4,2.39666666666667,71.5333333333333,1.93333333333333,1,17.6666666666667,2.46666666666667,1.61333333333333,1.22666666666667,0.41,1.20666666666667,0.713333333333333,0.26,NA,NA
"YAM_1028","Pineda Yam",1028,NA,NA,NA,37.4,6.05,96.7333333333333,2.06666666666667,0,23.3333333333333,2.98333333333333,1.63666666666667,1.24666666666667,0.456666666666667,1,0.69,0.233333333333333,NA,NA
